,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
82,Montenegro,,,,,,1.23837649822235,,0.194989055395126,,0.197911024093628,,,,83.0,5.23699998855591,5.34104444056749,5.13295553654432,1.12112903594971,0.667464673519135,0.0881741940975189,1.72919154167175,,,,,,,,
83,Morocco,,,,,,0.774864435195923,,0.408158332109451,,0.0322099551558495,,,,84.0,5.2350001335144,5.31834096476436,5.15165930226445,0.878114581108093,0.59771066904068,0.0877631828188896,2.45618939399719,,,,,,,,
84,Azerbaijan,,,,,,1.15240025520325,,0.398155838251114,,0.0452693402767181,,,,85.0,5.23400020599365,5.29928653523326,5.16871387675405,1.15360176563263,0.540775775909424,0.180987507104874,1.76248168945312,,,,,,,,
85,Dominican Republic,,,,,,1.40241670608521,,0.55258983373642,,0.186967849731445,,,,86.0,5.23000001907349,5.34906088516116,5.11093915298581,1.07937383651733,0.574873745441437,0.113945253193378,1.31946516036987,,,,,,,,
86,Greece,,,,,,1.23941457271576,,0.0957312509417534,,0.0,,,,87.0,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,0.810198903083801,0.04328977689147,1.74922156333923,,,,,,,,
87,Lebanon,,,,,,1.12962424755096,,0.288515985012054,,0.264450758695602,,,,88.0,5.22499990463257,5.31888228848577,5.13111752077937,1.07498753070831,0.735081076622009,0.037513829767704,1.69507384300232,,,,,,,,
88,Portugal,,,,,,1.36704301834106,,0.498465299606323,,0.0951027125120163,,,,89.0,5.19500017166138,5.28504173308611,5.10495861023665,1.3151752948761,0.795843541622162,0.0158694516867399,1.10768270492554,,,,,,,,
89,Bosnia and Herzegovina,,,,,,1.0693359375,,0.204403176903725,,0.328867495059967,,,,90.0,5.18200016021729,5.27633568674326,5.08766463369131,0.982409417629242,0.705186307430267,0.0,1.89217257499695,,,,,,,,
90,Honduras,,,,,,1.14394497871399,,0.348079860210419,,0.236188873648643,,,,91.0,5.18100023269653,5.30158279687166,5.0604176685214,0.730573117733002,0.582569479942322,0.0733454525470734,2.06581115722656,,,,,,,,
91,Macedonia,,,,,,1.20789301395416,,0.325905978679657,,0.25376096367836,,,,92.0,5.17500019073486,5.27217263966799,5.07782774180174,1.06457793712616,0.644948184490204,0.0602777935564518,1.6174693107605,,,,,,,,
92,Somalia,,,,,,0.721151351928711,,0.602126955986023,,0.291631311178207,,,,93.0,5.15100002288818,5.24248370990157,5.0595163358748,0.0226431842893362,0.113989137113094,0.282410323619843,3.11748456954956,,,,,,,,
93,Vietnam,,,,,,1.27749133110046,,0.571055591106415,,0.234968051314354,,,,94.0,5.07399988174438,5.14728076457977,5.000718998909,0.788547575473785,0.652168989181519,0.0876332372426987,1.46231865882874,,,,,,,,
94,Nigeria,,,,,,1.21577048301697,,0.394952565431595,,0.230947196483612,,,,95.0,5.07399988174438,5.20950013548136,4.93849962800741,0.783756256103516,0.0569157302379608,0.0261215660721064,2.36539053916931,,,,,,,,
95,Tajikistan,,,,,,1.27146327495575,,0.471566706895828,,0.248997643589973,,,,96.0,5.04099988937378,5.11142559587956,4.970574182868,0.524713635444641,0.529235124588013,0.146377146244049,1.84904932975769,,,,,,,,
96,Bhutan,,,,,,1.34012651443481,,0.501537680625916,,0.474054545164108,,,,97.0,5.01100015640259,5.07933456212282,4.94266575068235,0.885416388511658,0.495879292488098,0.173380389809608,1.14018440246582,,,,,,,,
97,Kyrgyzstan,,,,,,1.39423859119415,,0.454943388700485,,0.42858037352562,,,,98.0,5.00400018692017,5.08991990312934,4.91808047071099,0.596220076084137,0.553457796573639,0.0394391790032387,1.53672313690186,,,,,,,,
98,Nepal,,,,,,1.17928326129913,,0.440305948257446,,0.394096165895462,,,,99.0,4.96199989318848,5.06735607936978,4.85664370700717,0.479820191860199,0.504130780696869,0.0729755461215973,1.8912410736084,,,,,,,,
99,Mongolia,,,,,,1.4930112361908,,0.394143968820572,,0.338464230298996,,,,100.0,4.95499992370605,5.0216795091331,4.88832033827901,1.02723586559296,0.557783484458923,0.0329022891819477,1.11129236221313,,,,,,,,
100,South Africa,,,,,,1.38478863239288,,0.479246735572815,,0.139362379908562,,,,101.0,4.8289999961853,4.92943518772721,4.72856480464339,1.05469870567322,0.187080070376396,0.0725094974040985,1.51090860366821,,,,,,,,
101,Tunisia,,,,,,0.868351459503174,,0.289680689573288,,0.0496933571994305,,,,102.0,4.80499982833862,4.88436700701714,4.72563264966011,1.00726580619812,0.613212049007416,0.0867231488227844,1.89025115966797,,,,,,,,
102,Palestinian Territories,,,,,,1.15564715862274,,0.25471106171608,,0.114173173904419,,,,103.0,4.77500009536743,4.88184834256768,4.66815184816718,0.716249227523804,0.565666973590851,0.0892826020717621,1.8788902759552,,,,,,,,
103,Egypt,,,,,,0.997471392154694,,0.282110154628754,,0.128631442785263,,,,104.0,4.7350001335144,4.82513378962874,4.64486647740006,0.989701807498932,0.520187258720398,0.114381365478039,1.70216107368469,,,,,,,,
104,Bulgaria,,,,,,1.43437945842743,,0.289231717586517,,0.113177694380283,,,,105.0,4.71400022506714,4.80369470641017,4.62430574372411,1.1614590883255,0.708217680454254,0.0110515309497714,0.996139287948608,,,,,,,,
105,Sierra Leone,,,,,,0.984136044979095,,0.318697690963745,,0.293040901422501,,,,106.0,4.70900011062622,4.85064333498478,4.56735688626766,0.36842092871666,0.0055647538974881,0.0710951760411263,2.66845989227295,,,,,,,,
106,Cameroon,,,,,,0.946018218994141,,0.430388748645782,,0.236298456788063,,,,107.0,4.69500017166138,4.79654085725546,4.5934594860673,0.564305365085602,0.132892116904259,0.0513066314160824,2.3336455821991,,,,,,,,
107,Iran,,,,,,0.711551249027252,,0.249322608113289,,0.387242913246155,,,,108.0,4.69199991226196,4.79822470769286,4.58577511683106,1.15687310695648,0.639333188533783,0.048761073499918,1.49873495101929,,,,,,,,
