person,dept,eow,cause,cause_short,date,year,canine,dept_name,state,description,latitude,longitude,state_name
"Patrolman Frank Anthony Mastrangelo, Jr.","Fort Lauderdale Police Department, FL","EOW: Thursday, May 25, 1989",Cause of Death: Aircraft accident,Aircraft accident,5/25/1989,1989,FALSE,Fort Lauderdale Police Department,FL,Tallahassee,30.438118,-84.281296,Florida
Sergeant James Kidd,"Clarke County Sheriff's Department, AL","EOW: Saturday, May 27, 1989",Cause of Death: Automobile accident,Automobile accident,5/27/1989,1989,FALSE,Clarke County Sheriff's Department,AL,Montgomery,32.377716,-86.300568,Alabama
Patrolman Perry Floyd Patton,"Munday Police Department, TX","EOW: Sunday, May 28, 1989",Cause of Death: Gunfire,Gunfire,5/28/1989,1989,FALSE,Munday Police Department,TX,Austin,30.27467,-97.740349,Texas
Trooper Milan Dexter Hendrix,"Florida Highway Patrol, FL","EOW: Thursday, June 1, 1989",Cause of Death: Automobile accident,Automobile accident,6/1/1989,1989,FALSE,Florida Highway Patrol,FL,Tallahassee,30.438118,-84.281296,Florida
Sergeant Robert L. Mondary,"Hamilton County Sheriff's Office, OH","EOW: Thursday, June 1, 1989",Cause of Death: Heart attack,Heart attack,6/1/1989,1989,FALSE,Hamilton County Sheriff's Office,OH,Columbus,39.961346,-82.999069,Ohio
Police Officer Jeff B. Herman,"New York City Police Department, NY","EOW: Friday, June 2, 1989",Cause of Death: Gunfire,Gunfire,6/2/1989,1989,FALSE,New York City Police Department,NY,Albany,42.652843,-73.757874,New York
Patrol Officer Louie Gordon Mizelle,"Anchorage Police Department, AK","EOW: Tuesday, June 6, 1989",Cause of Death: Gunfire,Gunfire,6/6/1989,1989,FALSE,Anchorage Police Department,AK,Juneau,58.301598,-134.420212,Alaska
"Deputy Sheriff Lawrence W. Bragg, III","Newberry County Sheriff's Office, SC","EOW: Tuesday, June 6, 1989",Cause of Death: Automobile accident,Automobile accident,6/6/1989,1989,FALSE,Newberry County Sheriff's Office,SC,Columbia,34.000343,-81.033211,South Carolina
Police Officer Joseph Emmanuel Davis,"Atlanta Police Department, GA","EOW: Wednesday, June 7, 1989",Cause of Death: Gunfire,Gunfire,6/7/1989,1989,FALSE,Atlanta Police Department,GA,Atlanta,33.749027,-84.388229,Georgia
Lieutenant Benedict James Thomas,"Florida Highway Patrol, FL","EOW: Friday, June 9, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,6/9/1989,1989,FALSE,Florida Highway Patrol,FL,Tallahassee,30.438118,-84.281296,Florida
Deputy Sheriff William Mahon Banks,"Greenville County Sheriff's Office, SC","EOW: Friday, June 9, 1989",Cause of Death: Automobile accident,Automobile accident,6/9/1989,1989,FALSE,Greenville County Sheriff's Office,SC,Columbia,34.000343,-81.033211,South Carolina
"Trooper Harry Mckinley Coker, Jr.","South Carolina Highway Patrol, SC","EOW: Wednesday, June 21, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,6/21/1989,1989,FALSE,South Carolina Highway Patrol,SC,Columbia,34.000343,-81.033211,South Carolina
Deputy Sheriff Randy Robert Lutz,"Riverside County Sheriff's Department, CA","EOW: Thursday, June 22, 1989",Cause of Death: Motorcycle accident,Motorcycle accident,6/22/1989,1989,FALSE,Riverside County Sheriff's Department,CA,Sacramento,38.576668,-121.493629,California
Patrolman James Monroe McGaha,"Hueytown Police Department, AL","EOW: Saturday, June 24, 1989",Cause of Death: Vehicular assault,Vehicular assault,6/24/1989,1989,FALSE,Hueytown Police Department,AL,Montgomery,32.377716,-86.300568,Alabama
Investigator Eugene Natale Gaiotti,"Vermont Department of Liquor Control, VT","EOW: Sunday, June 25, 1989",Cause of Death: Automobile accident,Automobile accident,6/25/1989,1989,FALSE,Vermont Department of Liquor Control,VT,Montpelier,44.262436,-72.580536,Vermont
Patrolman Orville Franklin Evans,"Rossville Police Department, TN","EOW: Tuesday, June 27, 1989",Cause of Death: Heart attack,Heart attack,6/27/1989,1989,FALSE,Rossville Police Department,TN,Nashville,36.16581,-86.784241,Tennessee
Trooper Pilot Lance G. Dietsch,"Iowa State Patrol, IA","EOW: Friday, June 30, 1989",Cause of Death: Aircraft accident,Aircraft accident,6/30/1989,1989,FALSE,Iowa State Patrol,IA,Des Moines,41.591087,-93.603729,Iowa
Trooper Stanley E. Gerling,"Iowa State Patrol, IA","EOW: Friday, June 30, 1989",Cause of Death: Aircraft accident,Aircraft accident,6/30/1989,1989,FALSE,Iowa State Patrol,IA,Des Moines,41.591087,-93.603729,Iowa
Deputy Sheriff Paul Edward Grubb,"Henry County Sheriff's Office, VA","EOW: Sunday, July 2, 1989",Cause of Death: Gunfire,Gunfire,7/2/1989,1989,FALSE,Henry County Sheriff's Office,VA,Richmond,37.538857,-77.43364,Virginia
Deputy Sheriff Jerry Austin Register,"Upton County Sheriff's Department, TX","EOW: Sunday, July 2, 1989",Cause of Death: Vehicle pursuit,Vehicle pursuit,7/2/1989,1989,FALSE,Upton County Sheriff's Department,TX,Austin,30.27467,-97.740349,Texas
"Correctional Officer Lawrence A. ""Frank"" Kush, Jr.","Illinois Department of Corrections, IL","EOW: Sunday, July 2, 1989",Cause of Death: Assault,Assault,7/2/1989,1989,FALSE,Illinois Department of Corrections,IL,Springfield,39.798363,-89.654961,Illinois
"Corporal David Wayne Lupton, Sr.","Shreveport Police Department, LA","EOW: Thursday, July 6, 1989",Cause of Death: Vehicular assault,Vehicular assault,7/6/1989,1989,FALSE,Shreveport Police Department,LA,Baton Rouge,30.457069,-91.187393,Louisiana
Patrolman Mark Anthony Williams,"Knoxville Police Department, TN","EOW: Friday, July 7, 1989",Cause of Death: Gunfire,Gunfire,7/7/1989,1989,FALSE,Knoxville Police Department,TN,Nashville,36.16581,-86.784241,Tennessee
"Inspector Daniel C. Rivera, Jr.","New Mexico Motor Transportation Police, NM","EOW: Tuesday, July 11, 1989",Cause of Death: Vehicle pursuit,Vehicle pursuit,7/11/1989,1989,FALSE,New Mexico Motor Transportation Police,NM,Santa Fe,35.68224,-105.939728,New Mexico
Patrolman Richard Stanley Phelps,"Lemoyne Borough Police Department, PA","EOW: Tuesday, July 11, 1989",Cause of Death: Vehicle pursuit,Vehicle pursuit,7/11/1989,1989,FALSE,Lemoyne Borough Police Department,PA,Harrisburg,40.264378,-76.883598,Pennsylvania
Deputy Sheriff Carl Emanuel Vocale,"Dona Ana County Sheriff's Department, NM","EOW: Saturday, July 15, 1989",Cause of Death: Struck by train,Struck by train,7/15/1989,1989,FALSE,Dona Ana County Sheriff's Department,NM,Santa Fe,35.68224,-105.939728,New Mexico
Correctional Officer Argentra Cotton,"Mississippi Department of Corrections, MS","EOW: Tuesday, July 18, 1989",Cause of Death: Stabbed,Stabbed,7/18/1989,1989,FALSE,Mississippi Department of Corrections,MS,Jackson,32.303848,-90.182106,Mississippi
Lieutenant Walter Tommy Collins,"Wichita Falls Police Department, TX","EOW: Tuesday, July 25, 1989",Cause of Death: Gunfire,Gunfire,7/25/1989,1989,FALSE,Wichita Falls Police Department,TX,Austin,30.27467,-97.740349,Texas
Lieutenant Eugene L. Young,"Oklahoma Department of Corrections, OK","EOW: Friday, July 28, 1989",Cause of Death: Heart attack,Heart attack,7/28/1989,1989,FALSE,Oklahoma Department of Corrections,OK,Oklahoma City,35.492207,-97.503342,Oklahoma
Trooper Tommie Earl Owens,"Mississippi Department of Public Safety - Highway Patrol, MS","EOW: Friday, July 28, 1989",Cause of Death: Struck by train,Struck by train,7/28/1989,1989,FALSE,Mississippi Department of Public Safety - Highway Patrol,MS,Jackson,32.303848,-90.182106,Mississippi
Police Officer Jeffrey A. Young,"Kansas City Police Department, KS","EOW: Tuesday, August 1, 1989",Cause of Death: Vehicular assault,Vehicular assault,8/1/1989,1989,FALSE,Kansas City Police Department,KS,Topeka,39.048191,-95.677956,Kansas
Correctional Officer Kenneth Denton,"Oklahoma Department of Corrections, OK","EOW: Thursday, August 3, 1989",Cause of Death: Heart attack,Heart attack,8/3/1989,1989,FALSE,Oklahoma Department of Corrections,OK,Oklahoma City,35.492207,-97.503342,Oklahoma
Patrolman Keith E. Neumann,"Essex County Police Department, NJ","EOW: Thursday, August 3, 1989",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),8/3/1989,1989,FALSE,Essex County Police Department,NJ,Trenton,40.220596,-74.769913,New Jersey
Deputy Sheriff Olen O'neal Kennamer,"Marshall County Sheriff's Department, AL","EOW: Monday, August 7, 1989",Cause of Death: Motorcycle accident,Motorcycle accident,8/7/1989,1989,FALSE,Marshall County Sheriff's Department,AL,Montgomery,32.377716,-86.300568,Alabama
Sergeant Steven L. Singer,"Muncie Police Department, IN","EOW: Tuesday, August 8, 1989",Cause of Death: Motorcycle accident,Motorcycle accident,8/8/1989,1989,FALSE,Muncie Police Department,IN,Indianapolis,39.768623,-86.162643,Indiana
Police Officer William J. Luce,"Chicago Police Department, IL","EOW: Monday, August 14, 1989",Cause of Death: Duty related illness,Duty related illness,8/14/1989,1989,FALSE,Chicago Police Department,IL,Springfield,39.798363,-89.654961,Illinois
Deputy Sheriff Jonathan Dwayne Janey,"Putnam County Sheriff's Department, WV","EOW: Thursday, August 17, 1989",Cause of Death: Gunfire,Gunfire,8/17/1989,1989,FALSE,Putnam County Sheriff's Department,WV,Charleston,38.336246,-81.612328,West Virginia
Police Officer Bruce Roman Niedoborski,"Chicago Police Department, IL","EOW: Friday, August 18, 1989",Cause of Death: Automobile accident,Automobile accident,8/18/1989,1989,FALSE,Chicago Police Department,IL,Springfield,39.798363,-89.654961,Illinois
"Officer Mark Allen MacPhail, Sr.","Savannah Police Department, GA","EOW: Saturday, August 19, 1989",Cause of Death: Gunfire,Gunfire,8/19/1989,1989,FALSE,Savannah Police Department,GA,Atlanta,33.749027,-84.388229,Georgia
Police Officer Steven John Hasenstab,"Milwaukee Police Department, WI","EOW: Saturday, August 19, 1989",Cause of Death: Vehicle pursuit,Vehicle pursuit,8/19/1989,1989,FALSE,Milwaukee Police Department,WI,Madison,43.074684,-89.384445,Wisconsin
Patrolman Keith John Nivala,"Westminster Police Department, MA","EOW: Sunday, August 20, 1989",Cause of Death: Vehicular assault,Vehicular assault,8/20/1989,1989,FALSE,Westminster Police Department,MA,Boston,42.358162,-71.063698,Massachusetts
Lieutenant Richard Walters Gould,"Florence Police Department, SC","EOW: Tuesday, August 22, 1989",Cause of Death: Gunfire,Gunfire,8/22/1989,1989,FALSE,Florence Police Department,SC,Columbia,34.000343,-81.033211,South Carolina
Deputy Sheriff James Rondeau Dickinson,"Palm Beach County Sheriff's Office, FL","EOW: Tuesday, August 22, 1989",Cause of Death: Gunfire,Gunfire,8/22/1989,1989,FALSE,Palm Beach County Sheriff's Office,FL,Tallahassee,30.438118,-84.281296,Florida
Reserve Deputy Arlyn Lee Gort,"Ottawa County Sheriff's Department, MI","EOW: Tuesday, August 22, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,8/22/1989,1989,FALSE,Ottawa County Sheriff's Department,MI,Lansing,42.733635,-84.555328,Michigan
K9 Marko,"Los Angeles Police Department, CA","EOW: Thursday, August 24, 1989",Cause of Death: Stabbed,Stabbed,8/24/1989,1989,TRUE,Los Angeles Police Department,CA,Sacramento,38.576668,-121.493629,California
Patrolman Louis H. Metaxas,"Boston Police Department, MA","EOW: Sunday, August 27, 1989",Cause of Death: Fall,Fall,8/27/1989,1989,FALSE,Boston Police Department,MA,Boston,42.358162,-71.063698,Massachusetts
Sergeant John Robert Vicha,"Waco Police Department, TX","EOW: Tuesday, August 29, 1989",Cause of Death: Gunfire,Gunfire,8/29/1989,1989,FALSE,Waco Police Department,TX,Austin,30.27467,-97.740349,Texas
Officer Hugo Olazar,"California Highway Patrol, CA","EOW: Saturday, September 2, 1989",Cause of Death: Vehicular assault,Vehicular assault,9/2/1989,1989,FALSE,California Highway Patrol,CA,Sacramento,38.576668,-121.493629,California
Deputy Sheriff Richard Maurice Blackwell,"Harris County Sheriff's Office, TX","EOW: Wednesday, September 6, 1989",Cause of Death: Motorcycle accident,Motorcycle accident,9/6/1989,1989,FALSE,Harris County Sheriff's Office,TX,Austin,30.27467,-97.740349,Texas
Lieutenant Richard W. O. Gammill,"Joplin Police Department, MO","EOW: Thursday, September 7, 1989",Cause of Death: Gunfire,Gunfire,9/7/1989,1989,FALSE,Joplin Police Department,MO,Jefferson City,38.579201,-92.172935,Missouri
Deputy Sheriff David H. Whittier,"Orleans County Sheriff's Department, NY","EOW: Friday, September 8, 1989",Cause of Death: Vehicular assault,Vehicular assault,9/8/1989,1989,FALSE,Orleans County Sheriff's Department,NY,Albany,42.652843,-73.757874,New York
Police Officer Michael A. McNew,"St. Louis Metropolitan Police Department, MO","EOW: Saturday, September 9, 1989",Cause of Death: Vehicular assault,Vehicular assault,9/9/1989,1989,FALSE,St. Louis Metropolitan Police Department,MO,Jefferson City,38.579201,-92.172935,Missouri
Probation Unit Supervisor William Vance Lee,"North Carolina Department of Public Safety - Division of Community Corrections, NC","EOW: Monday, September 11, 1989",Cause of Death: Automobile accident,Automobile accident,9/11/1989,1989,FALSE,North Carolina Department of Public Safety - Division of Community Corrections,NC,Raleigh,35.78043,-78.639099,North Carolina
Sergeant Kenneth William Hayden,"Fort Wayne Police Department, IN","EOW: Tuesday, September 12, 1989",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),9/12/1989,1989,FALSE,Fort Wayne Police Department,IN,Indianapolis,39.768623,-86.162643,Indiana
Patrolman Terry Lee Sanders,"Mayfield Police Department, KY","EOW: Friday, September 15, 1989",Cause of Death: Aircraft accident,Aircraft accident,9/15/1989,1989,FALSE,Mayfield Police Department,KY,Frankfort,38.186722,-84.875374,Kentucky
Reserve Deputy David Allen McCollum,"Bradley County Sheriff's Office, TN","EOW: Saturday, September 16, 1989",Cause of Death: Exposure to toxins,Exposure to toxins,9/16/1989,1989,FALSE,Bradley County Sheriff's Office,TN,Nashville,36.16581,-86.784241,Tennessee
Sergeant Thomas Christopher Kelly,"Derry Police Department, NH","EOW: Sunday, September 17, 1989",Cause of Death: Exposure to toxins,Exposure to toxins,9/17/1989,1989,FALSE,Derry Police Department,NH,Concord,43.206898,-71.537994,New Hampshire
Deputy Sheriff John Thomas Huston,"Idaho County Sheriff's Department, ID","EOW: Friday, September 22, 1989",Cause of Death: Vehicular assault,Vehicular assault,9/22/1989,1989,FALSE,Idaho County Sheriff's Department,ID,Boise,43.617775,-116.199722,Idaho
Agent Robert Henry McLeod,"Mississippi Department of Public Safety - Bureau of Narcotics, MS","EOW: Saturday, September 23, 1989",Cause of Death: Automobile accident,Automobile accident,9/23/1989,1989,FALSE,Mississippi Department of Public Safety - Bureau of Narcotics,MS,Jackson,32.303848,-90.182106,Mississippi
Deputy Sheriff Rosemary Iris May,"Los Angeles County Sheriff's Department, CA","EOW: Tuesday, September 26, 1989",Cause of Death: Automobile accident,Automobile accident,9/26/1989,1989,FALSE,Los Angeles County Sheriff's Department,CA,Sacramento,38.576668,-121.493629,California
Court Officer John A. Dauway,"New York State Office of Court Administration, NY","EOW: Sunday, October 1, 1989",Cause of Death: Accidental,Accidental,10/1/1989,1989,FALSE,New York State Office of Court Administration,NY,Albany,42.652843,-73.757874,New York
Police Officer William L. Chisolm,"New York City Police Department, NY","EOW: Sunday, October 8, 1989",Cause of Death: Gunfire,Gunfire,10/8/1989,1989,FALSE,New York City Police Department,NY,Albany,42.652843,-73.757874,New York
Patrolman Barry A. Shalin,"Morton Grove Police Department, IL","EOW: Monday, October 9, 1989",Cause of Death: Vehicular assault,Vehicular assault,10/9/1989,1989,FALSE,Morton Grove Police Department,IL,Springfield,39.798363,-89.654961,Illinois
Police Officer William J. Martin,"Baltimore City Police Department, MD","EOW: Tuesday, October 10, 1989",Cause of Death: Gunfire,Gunfire,10/10/1989,1989,FALSE,Baltimore City Police Department,MD,Annapolis,38.978764,-76.490936,Maryland
Officer Alcee Samuel McCray,"Cuyahoga Metro Housing Authority Police Department, OH","EOW: Saturday, October 14, 1989",Cause of Death: Gunfire,Gunfire,10/14/1989,1989,FALSE,Cuyahoga Metro Housing Authority Police Department,OH,Columbus,39.961346,-82.999069,Ohio
Officer Johnny E. Garcia,"Arizona Department of Public Safety, AZ","EOW: Saturday, October 14, 1989",Cause of Death: Automobile accident,Automobile accident,10/14/1989,1989,FALSE,Arizona Department of Public Safety,AZ,Phoenix,33.448143,-112.096962,Arizona
Detective Norman Michael Montion,"El Paso Police Department, TX","EOW: Monday, October 16, 1989",Cause of Death: Gunfire,Gunfire,10/16/1989,1989,FALSE,El Paso Police Department,TX,Austin,30.27467,-97.740349,Texas
Patrolman Robert Anthony Cardone,"South Brunswick Police Department, NJ","EOW: Tuesday, October 17, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,10/17/1989,1989,FALSE,South Brunswick Police Department,NJ,Trenton,40.220596,-74.769913,New Jersey
Police Officer Anthony T. Dwyer,"New York City Police Department, NY","EOW: Tuesday, October 17, 1989",Cause of Death: Assault,Assault,10/17/1989,1989,FALSE,New York City Police Department,NY,Albany,42.652843,-73.757874,New York
Deputy Sheriff David Gene Brown,"Benton County Sheriff's Department, MS","EOW: Thursday, October 19, 1989",Cause of Death: Vehicle pursuit,Vehicle pursuit,10/19/1989,1989,FALSE,Benton County Sheriff's Department,MS,Jackson,32.303848,-90.182106,Mississippi
Deputy Sheriff Dighton Lewis Little,"San Joaquin County Sheriff's Office, CA","EOW: Friday, October 20, 1989",Cause of Death: Gunfire,Gunfire,10/20/1989,1989,FALSE,San Joaquin County Sheriff's Office,CA,Sacramento,38.576668,-121.493629,California
Deputy William M. Dillemuth,"Erie County Sheriff's Office, NY","EOW: Friday, October 20, 1989",Cause of Death: Gunfire,Gunfire,10/20/1989,1989,FALSE,Erie County Sheriff's Office,NY,Albany,42.652843,-73.757874,New York
Chief of Police Cole B. Shatswell,"Onawa Police Department, IA","EOW: Sunday, October 22, 1989",Cause of Death: Heart attack,Heart attack,10/22/1989,1989,FALSE,Onawa Police Department,IA,Des Moines,41.591087,-93.603729,Iowa
"Patrolman Jerry Lewis Bradford, Sr.","Childersburg Police Department, AL","EOW: Sunday, October 22, 1989",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),10/22/1989,1989,FALSE,Childersburg Police Department,AL,Montgomery,32.377716,-86.300568,Alabama
Police Officer Albert A. Valentino,"Philadelphia Police Department, PA","EOW: Monday, October 23, 1989",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),10/23/1989,1989,FALSE,Philadelphia Police Department,PA,Harrisburg,40.264378,-76.883598,Pennsylvania
Trooper Deborah M. McMenamin,"Wisconsin State Patrol, WI","EOW: Thursday, October 26, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,10/26/1989,1989,FALSE,Wisconsin State Patrol,WI,Madison,43.074684,-89.384445,Wisconsin
Officer Jack Lee Daugherty,"Piedmont Police Department, MO","EOW: Friday, October 27, 1989",Cause of Death: Heart attack,Heart attack,10/27/1989,1989,FALSE,Piedmont Police Department,MO,Jefferson City,38.579201,-92.172935,Missouri
Sergeant Preston Kinney Jones,"Macon Police Department, GA","EOW: Friday, October 27, 1989",Cause of Death: Automobile accident,Automobile accident,10/27/1989,1989,FALSE,Macon Police Department,GA,Atlanta,33.749027,-84.388229,Georgia
City Marshal Smead Powell Franklin,"Garland City Police Department, AR","EOW: Friday, October 27, 1989",Cause of Death: Automobile accident,Automobile accident,10/27/1989,1989,FALSE,Garland City Police Department,AR,Little Rock,34.746613,-92.288986,Arkansas
Reserve Deputy Sheriff George Riley Nash,"Contra Costa County Sheriff's Office, CA","EOW: Saturday, November 4, 1989",Cause of Death: Vehicular assault,Vehicular assault,11/4/1989,1989,FALSE,Contra Costa County Sheriff's Office,CA,Sacramento,38.576668,-121.493629,California
Officer Earl David Price,"Pawnee Police Department, IL","EOW: Sunday, November 5, 1989",Cause of Death: Vehicular assault,Vehicular assault,11/5/1989,1989,FALSE,Pawnee Police Department,IL,Springfield,39.798363,-89.654961,Illinois
Auxiliary Officer Aubrey R. Williams,"North Olmsted Police Department, OH","EOW: Tuesday, November 7, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,11/7/1989,1989,FALSE,North Olmsted Police Department,OH,Columbus,39.961346,-82.999069,Ohio
"Officer Florentino M. Garcia, Jr.","Houston Police Department, TX","EOW: Friday, November 10, 1989",Cause of Death: Motorcycle accident,Motorcycle accident,11/10/1989,1989,FALSE,Houston Police Department,TX,Austin,30.27467,-97.740349,Texas
Police Officer Gary C. Coe,"New York City Police Department, NY","EOW: Saturday, November 11, 1989",Cause of Death: Stabbed,Stabbed,11/11/1989,1989,FALSE,New York City Police Department,NY,Albany,42.652843,-73.757874,New York
Detective Keith L. Williams,"New York City Police Department, NY","EOW: Monday, November 13, 1989",Cause of Death: Gunfire,Gunfire,11/13/1989,1989,FALSE,New York City Police Department,NY,Albany,42.652843,-73.757874,New York
Detective Richard J. Guerzon,"New York City Police Department, NY","EOW: Monday, November 13, 1989",Cause of Death: Gunfire,Gunfire,11/13/1989,1989,FALSE,New York City Police Department,NY,Albany,42.652843,-73.757874,New York
Officer John J. Blessing,"San Francisco Police Department, CA","EOW: Tuesday, November 14, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,11/14/1989,1989,FALSE,San Francisco Police Department,CA,Sacramento,38.576668,-121.493629,California
Police Officer Gerald Walker,"Garland Police Department, TX","EOW: Wednesday, November 15, 1989",Cause of Death: Gunfire,Gunfire,11/15/1989,1989,FALSE,Garland Police Department,TX,Austin,30.27467,-97.740349,Texas
Evidence Technician Elijah Harris,"Chicago Police Department, IL","EOW: Thursday, November 16, 1989",Cause of Death: Gunfire,Gunfire,11/16/1989,1989,FALSE,Chicago Police Department,IL,Springfield,39.798363,-89.654961,Illinois
Reserve Deputy Sheriff David Jerome Cormier,"Monroe County Sheriff's Office, FL","EOW: Sunday, November 19, 1989",Cause of Death: Automobile accident,Automobile accident,11/19/1989,1989,FALSE,Monroe County Sheriff's Office,FL,Tallahassee,30.438118,-84.281296,Florida
Corrections Employee Sidney L. Lyons,"Texas Department of Criminal Justice, TX","EOW: Sunday, November 19, 1989",Cause of Death: Fall,Fall,11/19/1989,1989,FALSE,Texas Department of Criminal Justice,TX,Austin,30.27467,-97.740349,Texas
Trooper Jorge A. Agosto,"Connecticut State Police, CT","EOW: Wednesday, November 22, 1989",Cause of Death: Struck by vehicle,Struck by vehicle,11/22/1989,1989,FALSE,Connecticut State Police,CT,Hartford,41.764046,-72.682198,Connecticut
"Constable Thomas W. Wohlfeil, Sr.","Pennsylvania State Constable - Lancaster County, PA","EOW: Friday, November 24, 1989",Cause of Death: Gunfire,Gunfire,11/24/1989,1989,FALSE,Pennsylvania State Constable - Lancaster County,PA,Harrisburg,40.264378,-76.883598,Pennsylvania
Trooper Gary P. Parker,"New Hampshire State Police, NH","EOW: Wednesday, November 29, 1989",Cause of Death: Automobile accident,Automobile accident,11/29/1989,1989,FALSE,New Hampshire State Police,NH,Concord,43.206898,-71.537994,New Hampshire
Trooper Joseph Edward Gearty,"New Hampshire State Police, NH","EOW: Thursday, November 30, 1989",Cause of Death: Automobile accident,Automobile accident,11/30/1989,1989,FALSE,New Hampshire State Police,NH,Concord,43.206898,-71.537994,New Hampshire
Patrolman Charles Davis Downs,"Logansport Police Department, LA","EOW: Sunday, December 3, 1989",Cause of Death: Vehicular assault,Vehicular assault,12/3/1989,1989,FALSE,Logansport Police Department,LA,Baton Rouge,30.457069,-91.187393,Louisiana
Trooper Joseph A. Ynostroza,"Colorado State Patrol, CO","EOW: Wednesday, December 6, 1989",Cause of Death: Automobile accident,Automobile accident,12/6/1989,1989,FALSE,Colorado State Patrol,CO,Denver,39.739227,-104.984856,Colorado
Deputy Sheriff Lyle Armon Sneed,"Hamilton County Sheriff's Department, TN","EOW: Wednesday, December 6, 1989",Cause of Death: Automobile accident,Automobile accident,12/6/1989,1989,FALSE,Hamilton County Sheriff's Department,TN,Nashville,36.16581,-86.784241,Tennessee
Police Officer James Charles Boswell,"Houston Police Department, TX","EOW: Saturday, December 9, 1989",Cause of Death: Gunfire,Gunfire,12/9/1989,1989,FALSE,Houston Police Department,TX,Austin,30.27467,-97.740349,Texas
Police Officer Clois W. Lamb,"Columbus Police Department, GA","EOW: Tuesday, December 12, 1989",Cause of Death: Gunfire,Gunfire,12/12/1989,1989,FALSE,Columbus Police Department,GA,Atlanta,33.749027,-84.388229,Georgia
Patrolman Michael Alan Hogan,"Hutchinson Police Department, MN","EOW: Friday, December 15, 1989",Cause of Death: Gunfire,Gunfire,12/15/1989,1989,FALSE,Hutchinson Police Department,MN,St. Paul,44.955097,-93.102211,Minnesota
Corporal Susan E. Wells,"Shreveport Police Department, LA","EOW: Friday, December 15, 1989",Cause of Death: Vehicular assault,Vehicular assault,12/15/1989,1989,FALSE,Shreveport Police Department,LA,Baton Rouge,30.457069,-91.187393,Louisiana
Agent Spencer Glenn Beckley,"Mississippi Department of Public Safety - Bureau of Narcotics, MS","EOW: Saturday, December 23, 1989",Cause of Death: Automobile accident,Automobile accident,12/23/1989,1989,FALSE,Mississippi Department of Public Safety - Bureau of Narcotics,MS,Jackson,32.303848,-90.182106,Mississippi
Trooper Donald Matejka,"Nebraska State Patrol, NE","EOW: Saturday, December 23, 1989",Cause of Death: Heart attack,Heart attack,12/23/1989,1989,FALSE,Nebraska State Patrol,NE,Lincoln,40.808075,-96.699654,Nebraska
Sergeant David L. Distrola,"Bradford City Police Department, PA","EOW: Saturday, December 23, 1989",Cause of Death: Fall,Fall,12/23/1989,1989,FALSE,Bradford City Police Department,PA,Harrisburg,40.264378,-76.883598,Pennsylvania
"Detective Kelly Key, III","Los Angeles Police Department, CA","EOW: Wednesday, December 27, 1989",Cause of Death: Gunfire,Gunfire,12/27/1989,1989,FALSE,Los Angeles Police Department,CA,Sacramento,38.576668,-121.493629,California
Sergeant Terry Lee Jaynes,"Victoria County Sheriff's Office, TX","EOW: Friday, December 29, 1989",Cause of Death: Automobile accident,Automobile accident,12/29/1989,1989,FALSE,Victoria County Sheriff's Office,TX,Austin,30.27467,-97.740349,Texas
Deputy Sheriff William Hamilton Rutherford,"Marion County Sheriff's Office, FL","EOW: Tuesday, January 2, 1990",Cause of Death: Vehicular assault,Vehicular assault,1/2/1990,1990,FALSE,Marion County Sheriff's Office,FL,Tallahassee,30.438118,-84.281296,Florida
Deputy Sheriff Kevan Maurice Ward,"Lauderdale County Sheriff's Office, TN","EOW: Tuesday, January 2, 1990",Cause of Death: Gunfire,Gunfire,1/2/1990,1990,FALSE,Lauderdale County Sheriff's Office,TN,Nashville,36.16581,-86.784241,Tennessee
Deputy Sheriff Bobby Joe Nolen,"Lauderdale County Sheriff's Office, TN","EOW: Tuesday, January 2, 1990",Cause of Death: Gunfire,Gunfire,1/2/1990,1990,FALSE,Lauderdale County Sheriff's Office,TN,Nashville,36.16581,-86.784241,Tennessee
Trooper April C. Styburski,"Illinois State Police, IL","EOW: Friday, January 5, 1990",Cause of Death: Fall,Fall,1/5/1990,1990,FALSE,Illinois State Police,IL,Springfield,39.798363,-89.654961,Illinois
Patrolman Joshua Lee Milligan,"St. Stephen Police Department, SC","EOW: Saturday, January 6, 1990",Cause of Death: Stabbed,Stabbed,1/6/1990,1990,FALSE,St. Stephen Police Department,SC,Columbia,34.000343,-81.033211,South Carolina
Investigator Terry N. Thuma,"Orlando Police Department, FL","EOW: Tuesday, January 9, 1990",Cause of Death: Gunfire,Gunfire,1/9/1990,1990,FALSE,Orlando Police Department,FL,Tallahassee,30.438118,-84.281296,Florida
Correctional Officer William E. Donaldson,"Alabama Department of Corrections, AL","EOW: Friday, January 12, 1990",Cause of Death: Stabbed,Stabbed,1/12/1990,1990,FALSE,Alabama Department of Corrections,AL,Montgomery,32.377716,-86.300568,Alabama
